cell_id,center_lat,center_lon
0,52.099,20.8527
1,52.099,20.8557
2,52.099,20.8587
3,52.099,20.8617
4,52.099,20.8647
5,52.099,20.8677
6,52.099,20.8707
7,52.099,20.8737
8,52.099,20.8767
9,52.099,20.8797
10,52.099,20.8827
11,52.099,20.8857
12,52.099,20.8887
13,52.099,20.8917
14,52.099,20.8947
15,52.099,20.8977
16,52.099,20.9007
17,52.099,20.9037
18,52.099,20.9067
19,52.099,20.9097
20,52.099,20.9127
21,52.099,20.9157
22,52.099,20.9187
23,52.099,20.9217
24,52.099,20.9247
25,52.099,20.9277
26,52.099,20.9307
27,52.099,20.9337
28,52.099,20.936700000000002
29,52.099,20.939700000000002
30,52.099,20.942700000000002
31,52.099,20.945700000000002
32,52.099,20.948700000000002
33,52.099,20.951700000000002
34,52.099,20.954700000000003
35,52.099,20.957700000000003
36,52.099,20.960700000000003
37,52.099,20.963700000000003
38,52.099,20.966700000000003
39,52.099,20.969700000000003
40,52.099,20.972700000000003
41,52.099,20.975700000000003
42,52.099,20.978700000000003
43,52.099,20.981700000000004
44,52.099,20.984700000000004
45,52.099,20.987700000000004
46,52.099,20.990700000000004
47,52.099,20.993700000000004
48,52.099,20.996700000000004
49,52.099,20.999700000000004
50,52.099,21.002700000000004
51,52.099,21.005700000000004
52,52.099,21.008700000000005
53,52.099,21.011700000000005
54,52.099,21.014700000000005
55,52.099,21.017700000000005
56,52.099,21.020700000000005
57,52.099,21.023700000000005
58,52.099,21.026700000000005
59,52.099,21.029700000000005
60,52.099,21.032700000000006
61,52.099,21.035700000000006
62,52.099,21.038700000000006
63,52.099,21.041700000000006
64,52.099,21.044700000000006
65,52.099,21.047700000000006
66,52.099,21.050700000000006
67,52.099,21.053700000000006
68,52.099,21.056700000000006
69,52.099,21.059700000000007
70,52.099,21.062700000000007
71,52.099,21.065700000000007
72,52.099,21.068700000000007
73,52.099,21.071700000000007
74,52.099,21.074700000000007
75,52.099,21.077700000000007
76,52.099,21.080700000000007
77,52.099,21.083700000000007
78,52.099,21.086700000000008
79,52.099,21.089700000000008
80,52.099,21.092700000000008
81,52.099,21.095700000000008
82,52.099,21.098700000000008
83,52.099,21.101700000000008
84,52.099,21.10470000000001
85,52.099,21.10770000000001
86,52.099,21.11070000000001
87,52.099,21.11370000000001
88,52.099,21.11670000000001
89,52.099,21.11970000000001
90,52.099,21.12270000000001
91,52.099,21.12570000000001
92,52.099,21.12870000000001
93,52.099,21.13170000000001
94,52.099,21.13470000000001
95,52.099,21.13770000000001
96,52.099,21.14070000000001
97,52.099,21.14370000000001
98,52.099,21.14670000000001
99,52.099,21.14970000000001
100,52.099,21.15270000000001
101,52.099,21.15570000000001
102,52.099,21.15870000000001
103,52.099,21.16170000000001
104,52.099,21.16470000000001
105,52.099,21.16770000000001
106,52.099,21.17070000000001
107,52.099,21.17370000000001
108,52.099,21.17670000000001
109,52.099,21.17970000000001
110,52.099,21.18270000000001
111,52.099,21.18570000000001
112,52.099,21.18870000000001
113,52.099,21.19170000000001
114,52.099,21.19470000000001
115,52.099,21.19770000000001
116,52.099,21.200700000000012
117,52.099,21.203700000000012
118,52.099,21.206700000000012
119,52.099,21.209700000000012
120,52.099,21.212700000000012
121,52.099,21.215700000000012
122,52.099,21.218700000000013
123,52.099,21.221700000000013
124,52.099,21.224700000000013
125,52.099,21.227700000000013
126,52.099,21.230700000000013
127,52.099,21.233700000000013
128,52.099,21.236700000000013
129,52.099,21.239700000000013
130,52.099,21.242700000000013
131,52.099,21.245700000000014
132,52.099,21.248700000000014
133,52.099,21.251700000000014
134,52.099,21.254700000000014
135,52.099,21.257700000000014
136,52.099,21.260700000000014
137,52.099,21.263700000000014
138,52.099,21.266700000000014
139,52.099,21.269700000000014
140,52.102,20.8527
141,52.102,20.8557
142,52.102,20.8587
143,52.102,20.8617
144,52.102,20.8647
145,52.102,20.8677
146,52.102,20.8707
147,52.102,20.8737
148,52.102,20.8767
149,52.102,20.8797
150,52.102,20.8827
151,52.102,20.8857
152,52.102,20.8887
153,52.102,20.8917
154,52.102,20.8947
155,52.102,20.8977
156,52.102,20.9007
157,52.102,20.9037
158,52.102,20.9067
159,52.102,20.9097
160,52.102,20.9127
161,52.102,20.9157
162,52.102,20.9187
163,52.102,20.9217
164,52.102,20.9247
165,52.102,20.9277
166,52.102,20.9307
167,52.102,20.9337
168,52.102,20.936700000000002
169,52.102,20.939700000000002
170,52.102,20.942700000000002
171,52.102,20.945700000000002
172,52.102,20.948700000000002
173,52.102,20.951700000000002
174,52.102,20.954700000000003
175,52.102,20.957700000000003
176,52.102,20.960700000000003
177,52.102,20.963700000000003
178,52.102,20.966700000000003
179,52.102,20.969700000000003
180,52.102,20.972700000000003
181,52.102,20.975700000000003
182,52.102,20.978700000000003
183,52.102,20.981700000000004
184,52.102,20.984700000000004
185,52.102,20.987700000000004
186,52.102,20.990700000000004
187,52.102,20.993700000000004
188,52.102,20.996700000000004
189,52.102,20.999700000000004
190,52.102,21.002700000000004
191,52.102,21.005700000000004
192,52.102,21.008700000000005
193,52.102,21.011700000000005
194,52.102,21.014700000000005
195,52.102,21.017700000000005
196,52.102,21.020700000000005
197,52.102,21.023700000000005
198,52.102,21.026700000000005
199,52.102,21.029700000000005
200,52.102,21.032700000000006
201,52.102,21.035700000000006
202,52.102,21.038700000000006
203,52.102,21.041700000000006
204,52.102,21.044700000000006
205,52.102,21.047700000000006
206,52.102,21.050700000000006
207,52.102,21.053700000000006
208,52.102,21.056700000000006
209,52.102,21.059700000000007
